,Class,Entropy,Skewness,Kurtosis,Contrast,Energy,Homogeneity,Dissimilarity,Correlation
822,0,7.700773940761234,-0.20489622769670512,-1.20782715866944,19.29514738258317,0.024787665450786027,0.3699854224265615,2.6044979207436394,0.9973456849748878
823,0,7.599076638847839,-0.5658943337482254,-0.5469007203289467,67.29963842343443,0.047256234724404426,0.4054957884441237,2.8681697957436403,0.992044766898858
824,0,7.407536158141479,-0.5807179099821703,0.02598196377848261,49.61257414995107,0.03107039668628934,0.4493322674943654,2.311792899951076,0.9882645405656427
825,0,7.5419189654765875,-0.535960192349839,-0.80427444018774,51.435619496086105,0.036557167988380566,0.42841975390379355,2.7882139799412915,0.9935397720148826
826,0,7.716290295844045,-0.42361661694842273,-1.0983354700554313,13.593081121575338,0.04939443249917802,0.43360427321433315,2.1235743334148727,0.9988218843148333
827,0,7.556517555173377,-0.6959531012129657,-0.3607642116419534,74.13953568370842,0.04698034824438433,0.41274653145615753,2.829894661203522,0.9910434269186079
828,0,7.493368818871959,-0.4394519946908538,-0.8852275137321608,19.46445771159491,0.08354115201208238,0.4461240120130056,2.171290209148728,0.9980741197718691
829,0,7.665650849985067,-0.16688051677072147,-0.843843544003132,74.53427333047945,0.04464987261580866,0.49996508221758196,2.1291470462328768,0.9899577117744456
830,0,6.887419248231392,-0.7988430874963258,0.15065847522297782,14.29035056873777,0.03736510683133759,0.4413855734924322,2.068733946917808,0.9949620400173353
831,0,7.6678850200387725,-0.3136460185181971,-1.0958360537998115,51.277561613258314,0.03456297941578745,0.4385518571521231,2.7793274522994125,0.9943984713381864
832,0,7.408741706113519,0.20286799297131256,-1.1551833686216728,17.00061154598826,0.11280640685776763,0.45993679366871093,2.263782717710372,0.9981671325314398
833,0,7.549226689229519,0.1316664933694965,-1.2498007372928843,16.74669382950098,0.0789174304123224,0.4358787445960209,2.4391932179549904,0.9984370580069802
834,0,7.747246083905712,-0.19903368601508192,-1.0627377841530075,20.713463949363994,0.03784722295952471,0.3701440796908477,2.5698117967221137,0.997593106509194
835,0,7.661813382442287,-0.11301097806208016,-1.0489153005733856,14.890831396771036,0.054988860913221076,0.3954490114761982,2.441398605675146,0.9981889169755823
836,0,7.7196190006160705,0.026296032799542523,-1.1602213185210064,27.98141282411937,0.04620534300356045,0.4119775482222618,2.658952268835617,0.9970084871159794
837,0,7.199500644846203,-1.228074162298139,1.2370493477384699,14.109061582681019,0.04984524737961225,0.43115199535521825,2.243089530332681,0.9976270345794921
838,0,7.708572215986079,-0.03030214941924736,-1.1228754703896358,25.81697957436399,0.06276290162153399,0.4265726066696861,2.579057607632094,0.9975628924511121
839,0,7.580094159384457,0.0007813210164935805,-1.0732127937971756,16.544069532778863,0.08915793776012364,0.4257782853608217,2.360192942759295,0.998242687442232
840,0,7.8140937128671295,-0.32915722263392677,-0.9574593990815519,19.511248624021526,0.03841720082494006,0.4088955396134209,2.386477953767123,0.9980026530125055
841,0,7.663013973054454,-0.2296740152673597,-0.9929080220818949,21.027156464041095,0.06695169495588338,0.3905464971800214,2.58299061276908,0.9977564906042558
842,0,7.807588130637347,-0.37667355156800436,-1.0825104445131104,15.234459087573383,0.03816060021170581,0.4196402478400227,2.231714774951076,0.998556480730618
